study_id,title,description
EGAS00001005333,breast cis wgs,LCM guided multiregion sequencing of breast tissues to examine patterns of cancer progression and growth.
EGAS00001003658,epitope linked ig seq   reactive plasma cells  celiac disease,
EGAS00001003736,germline mutations   transcription factor ikzf5  thrombocytopenia,"To identify novel causes of hereditary thrombocytopenia, we performed a genetic association analysis of whole-genome sequencing data from 13,037 individuals enrolled in the NIHR BioResource, including 233 cases with isolated thrombocytopenia. We found an association between rare variants in the transcription factor encoding gene IKZF5 and thrombocytopenia. We report five causal missense variants in or near IKZF5 zinc fingers (Znfs), of which two occurred de novo and three co-segregated in three pedigrees. A canonical DNA-Znf binding model predicts that three of the variants alter DNA recognition. Expression studies showed that chromatin binding was disrupted in mutant compared to wild-type (WT) IKZF5 and electron microscopy revealed a reduced quantity of alpha granules in normally sized platelets. Proplatelet formation (PPF) was reduced in megakaryocytes (MKs) from seven cases relative to six controls. Comparison of RNA-seq data from platelets, monocytes, neutrophils and CD4 T-cells from three cases and 14 healthy controls showed 1,194 differentially expressed genes in platelets but only four DEGs in each of the other blood cell types. In conclusion, IKZF5 is a novel transcriptional regulator of megakaryopoiesis and the eighth transcription factor associated with dominant thrombocytopenia in humans."
EGAS00001004255,single cell rna seq profiling  cd8 t cells  elder adults,"Single cell RNA-seq profiling of ~62k purified CD8+ T cell  transcriptomes, from six healthy older adult donors using 10X genomics. Cells from each donor were separated based on their IL-7R protein expression (i.e. CD8+ IL7R+ and CD8+ IL7R- T cells)."
EGAS00001002487,kidney tumour rna,This is a bulk DNA and RNA sequencing study of human renal tumours
EGAS00001004302,circulating cell free dna based methylation patterns  diagnosis  early breast cancer,
EGAS00001005181,g3bp2 kit drives leukemia amenable  kinase inhibition  ph  ,"We describe a patient with Ph-like ALL, in which leukemic cells harbored an in-frame fusion between the GTPase-activating protein (SH3 domain)-binding protein 2 (G3BP2) and the KIT proto-oncogene."
EGAS00001003490,predicting brain tumor recurrence development  validation   dna methylation based nomogram  meningioma,"Our work is the first to demonstrate the transformative utility of integrating clinical and molecular factors for use beyond simple classification into the realm of individualized prognostication for any brain tumor. Using our developed and validated tools that are publicly available, clinicians will be able combine clinical and molecular factors to determine an individualized probability of recurrence for patients with meningiomas. This represents a major advance in the field of personalized medicine for neuro-oncology, and the use of this tool can help clinicians overcome one of the most challenging limitations we face when treating patients with meningiomas."
EGAS00001003757,lung cell atlas hca mrc,"scRNA-Seq for for fetal lung , plus single cell ATACseq for adult and fetal lung 

The aim of this study is to assess single cell gene expression profiles across the developing human lung. In addition to this, we will carry out ATACseq of both fetal lung samples and adult lung samples to better understand regulatory networks and developmental trajectories in the human lung.

This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001003616,kidney tumour dna exome,This is an exome DNA sequencing study of human renal tumours
EGAS00001003758,genomics  acral lentiginous melanoma rnaseq,"Melanoma is the most aggressive type of skin cancer, causing about 75% of dermatological cancer deaths. Acral lentiginous melanoma (ALM) is the most common subtype of melanoma in admixed Latin American populations, but very few tumour genomes and exomes, all from European-descent individuals, have been analysed across several studies. Because of this, the genomic landscape of ALM is mostly unknown. Our aim in this project is to define this landscape and identify driver somatic alterations by whole-exome sequencing a collection of ALM germline/tumour paired FFPE samples from the National Cancer Institute of Mexico."
EGAS00001003759,circular consensus sequencing  circulating tumor dna,TBA
EGAS00001003760,genetics  transcriptomes  pediatric  cell precursor leukemia  gain  chromosome 21,
EGAS00001003501,chromatin accessability  cytokine induced immune cell states,We isolated T cells and monocotyes from healthy platelet donors and cultured them in resting and stimulated conditions with addition of a range of cytokines. We performed ATAC sequencing to assess the chromatin accessability in different cytokines treated  cells. These cellular profiles were used to map risk variants to the cytokine-induced cell states relevant for autoimmune diseases.
EGAS00001005261,rest transcription factor binding  glioma patients,
EGAS00001002719, performed  exome sequencing   epigenome sequencing rrbs  samples collected   time points  radiotherapy  thirty  escc patients  compared  genetic  epigenetic features    time biopsy samples  reveal  changes  escc received radiotherapy,We performed whole-exome sequencing and whole epigenome sequencing (RRBS) of samples collected from different time points during radiotherapy from thirty-four ESCC patients. We compared the genetic and epigenetic features of the different time biopsy samples to reveal the changes in ESCC received radiotherapy.
EGAS00001003748,compare study participants typed  uk biobank version 2 array development phase,
EGAS00001001945,single cell transcriptomic analysis  cellular heterogeneity  human colorectal tumors,"1,591 single cells from 11 colorectal cancer patients were profiled using Fluidigm based single cell RNA-seq protocol to characterized cellular heterogeneity of colorectal cancer. 630 single cells from 7 cell lines were profiled similarly to benchmark de novo cell type identification algorithms."
